SRR5291814_1.fastq	536_S536_L001_R1_001.fastq
SRR5291814_2.fastq	536_S536_L001_R2_001.fastq
SRR5291813_1.fastq	537_S537_L001_R1_001.fastq
SRR5291813_2.fastq	537_S537_L001_R2_001.fastq
SRR5291812_1.fastq	538_S538_L001_R1_001.fastq
SRR5291812_2.fastq	538_S538_L001_R2_001.fastq
SRR5291811_1.fastq	539_S539_L001_R1_001.fastq
SRR5291811_2.fastq	539_S539_L001_R2_001.fastq
SRR5291810_1.fastq	540_S540_L001_R1_001.fastq
SRR5291810_2.fastq	540_S540_L001_R2_001.fastq
SRR5291809_1.fastq	541_S541_L001_R1_001.fastq
SRR5291809_2.fastq	541_S541_L001_R2_001.fastq
SRR5291808_1.fastq	542_S542_L001_R1_001.fastq
SRR5291808_2.fastq	542_S542_L001_R2_001.fastq
SRR5291807_1.fastq	543_S543_L001_R1_001.fastq
SRR5291807_2.fastq	543_S543_L001_R2_001.fastq
SRR5291806_1.fastq	544_S544_L001_R1_001.fastq
SRR5291806_2.fastq	544_S544_L001_R2_001.fastq
SRR5291805_1.fastq	545_S545_L001_R1_001.fastq
SRR5291805_2.fastq	545_S545_L001_R2_001.fastq
SRR5291804_1.fastq	546_S546_L001_R1_001.fastq
SRR5291804_2.fastq	546_S546_L001_R2_001.fastq
SRR5291803_1.fastq	548_S548_L001_R1_001.fastq
SRR5291803_2.fastq	548_S548_L001_R2_001.fastq
SRR5291802_1.fastq	550_S550_L001_R1_001.fastq
SRR5291802_2.fastq	550_S550_L001_R2_001.fastq
SRR5291801_1.fastq	552_S552_L001_R1_001.fastq
SRR5291801_2.fastq	552_S552_L001_R2_001.fastq
SRR5291800_1.fastq	553_S553_L001_R1_001.fastq
SRR5291800_2.fastq	553_S553_L001_R2_001.fastq
SRR5291799_1.fastq	554_S554_L001_R1_001.fastq
SRR5291799_2.fastq	554_S554_L001_R2_001.fastq
SRR5291798_1.fastq	555_S555_L001_R1_001.fastq
SRR5291798_2.fastq	555_S555_L001_R2_001.fastq
SRR5291797_1.fastq	556_S556_L001_R1_001.fastq
SRR5291797_2.fastq	556_S556_L001_R2_001.fastq
SRR5291796_1.fastq	557_S557_L001_R1_001.fastq
SRR5291796_2.fastq	557_S557_L001_R2_001.fastq
SRR5291795_1.fastq	558_S558_L001_R1_001.fastq
SRR5291795_2.fastq	558_S558_L001_R2_001.fastq
SRR5291794_1.fastq	559_S559_L001_R1_001.fastq
SRR5291794_2.fastq	559_S559_L001_R2_001.fastq
SRR5291793_1.fastq	560_S560_L001_R1_001.fastq
SRR5291793_2.fastq	560_S560_L001_R2_001.fastq
SRR5291792_1.fastq	561_S561_L001_R1_001.fastq
SRR5291792_2.fastq	561_S561_L001_R2_001.fastq
SRR5291791_1.fastq	562_S562_L001_R1_001.fastq
SRR5291791_2.fastq	562_S562_L001_R2_001.fastq
SRR5291790_1.fastq	566_S566_L001_R1_001.fastq
SRR5291790_2.fastq	566_S566_L001_R2_001.fastq
SRR5291789_1.fastq	567_S567_L001_R1_001.fastq
SRR5291789_2.fastq	567_S567_L001_R2_001.fastq
SRR5291788_1.fastq	568_S568_L001_R1_001.fastq
SRR5291788_2.fastq	568_S568_L001_R2_001.fastq
SRR5291787_1.fastq	569_S569_L001_R1_001.fastq
SRR5291787_2.fastq	569_S569_L001_R2_001.fastq
SRR5291786_1.fastq	571_S571_L001_R1_001.fastq
SRR5291786_2.fastq	571_S571_L001_R2_001.fastq
SRR5291785_1.fastq	673_S673_L001_R1_001.fastq
SRR5291785_2.fastq	673_S673_L001_R2_001.fastq
SRR5291784_1.fastq	674_S674_L001_R1_001.fastq
SRR5291784_2.fastq	674_S674_L001_R2_001.fastq
SRR5291783_1.fastq	675_S675_L001_R1_001.fastq
SRR5291783_2.fastq	675_S675_L001_R2_001.fastq
SRR5291782_1.fastq	676_S676_L001_R1_001.fastq
SRR5291782_2.fastq	676_S676_L001_R2_001.fastq
SRR5291781_1.fastq	677_S677_L001_R1_001.fastq
SRR5291781_2.fastq	677_S677_L001_R2_001.fastq
