#SampleID	DNAPlate	Tube	AnimalID	Sex	Diet	Year	DMI_total_kg	days_fed	ADFI	gain_total	ADG	FE	perANS	perHHS	perARS	perSHS	perBMS	perBRS	perBNS	perSGS	perBVS	perCHS	perCAS	perGVS	perLMS	perMAS	perSAS	perSMS	perHH	perAN	perSM	perCH	perM2	perM3	perRS	perRO	Selected	Group
S519	2	135	133742	Steer	Finishing	2013	635.1	78	8.14	139.3	1.79	0.219	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0	No	NA
S520	2	136	133091	Steer	Finishing	2013	643	78	8.24	137.6	1.76	0.214	0	0	0	0	0	0	0.75	0	0	0	0	0	0.125	0	0	0	0	0.125	0	0	0	0	0	0	No	NA
S522	2	138	133010	Steer	Finishing	2013	640.2	78	8.21	133.9	1.72	0.209	0.5	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	No	NA
S523	2	139	133131	Steer	Finishing	2013	641.6	78	8.23	159.4	2.04	0.248	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	No	NA
S524	2	140	133238	Steer	Finishing	2013	718.3	78	9.21	156.4	2.01	0.218	0.125	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	Yes	BWGH-DMIL
S525	2	141	133452	Steer	Finishing	2013	793.1	78	10.17	121.5	1.56	0.153	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	Yes	BWGL-DMIH
S526	2	142	133649	Steer	Finishing	2013	665.1	78	8.53	160.4	2.06	0.241	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.25	0	0	0	0	0	0.25	0	0	0	No	NA
S527	2	143	133147	Steer	Finishing	2013	771.7	78	9.89	169.3	2.17	0.219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9375	0	0	0.03125	0	0	0.03125	0	0	Yes	BWGH-DMIH
S528	2	144	133393	Steer	Finishing	2013	619.1	78	7.94	142.3	1.82	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0.125	0	0	0.125	0	0	No	NA
S529	2	145	133182	Steer	Finishing	2013	700.3	78	8.98	128.1	1.64	0.183	0	0	0	0	0	0	0	0	0	0	0	0.9375	0	0	0	0	0	0.0625	0	0	0	0	0	0	No	NA
S530	2	146	133569	Steer	Finishing	2013	818.2	78	10.49	175.6	2.25	0.215	0.25	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	No	NA
S531	2	147	133049	Steer	Finishing	2013	708.5	78	9.08	133.7	1.71	0.189	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.25	0	0	0	0	0	0.25	0	0	0	0	No	NA
S532	2	148	133101	Steer	Finishing	2013	563.1	78	7.22	135	1.73	0.24	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	No	NA
S533	2	149	133412	Steer	Finishing	2013	940.1	78	12.05	171.3	2.2	0.182	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	No	NA
S534	2	150	133606	Steer	Finishing	2013	852.5	78	10.93	158.7	2.03	0.186	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	No	NA
S535	2	151	133104	Steer	Finishing	2013	695.4	78	8.92	158.6	2.03	0.228	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.25	0.125	0	0	0	0	0	No	NA
S536	2	152	133427	Steer	Finishing	2013	636.5	78	8.16	143.6	1.84	0.226	0	0	0	0	0	0	0	0	0	0	0	0	0.875	0	0	0	0	0.125	0	0	0	0	0	0	No	NA
S537	2	153	133335	Steer	Finishing	2013	737.6	78	9.46	141.6	1.82	0.192	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.125	0	0.125	No	NA
S538	2	154	133226	Steer	Finishing	2013	756.1	78	9.69	134.5	1.72	0.178	0	0	0	0.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	No	NA
S539	2	155	133051	Steer	Finishing	2013	723.4	78	9.27	164.3	2.11	0.227	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	No	NA
S540	2	156	133082	Steer	Finishing	2013	770.1	78	9.87	139.4	1.79	0.181	0	0	0	0	0	0	0	0	0	0	0.875	0	0.03125	0	0	0	0.03125	0	0	0	0	0.0625	0	0	No	NA
S541	2	157	133116	Steer	Finishing	2013	675.6	78	8.66	153	1.96	0.226	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0.25	0	0	0	0	0	0	No	NA
S542	2	158	133356	Steer	Finishing	2013	1051.4	78	13.48	91.99	1.18	0.087	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.5	0	0	0	0.25	0	0	0	0	No	NA
